,date,description,amount
0,2022-02-03,DEBIT CARD PURCHASE SQ *LITTLE NIC         West Melbour,4.35
1,2022-02-04,DEBIT CARD PURCHASE EMPORIUM ESPRESSO PL MELBOURNE,5.3
2,2022-02-05,DEBIT CARD PURCHASE SQ *BOURKE AND WILLS Melbourne,4.57
3,2022-02-06,DEBIT CARD PURCHASE AXILCOFFEE.COM.AU MELBOURNE,5.21
4,2022-02-06,DEBIT CARD PURCHASE CROWN ASIAN SUPERMAR MELBOURNE,15.42
5,2022-02-07,DEBIT CARD PURCHASE SQ *BOURKE AND WILLS Melbourne,4.57
6,2022-02-07,DEBIT CARD PURCHASE SUSHI HUB SWANSTON MELBOURNE,12.4
7,2022-02-08,DEBIT CARD PURCHASE The league of honest c Melbourne,4.75
8,2022-02-09,DEBIT CARD PURCHASE SQ *COMMONPLACE COFFEE Melbourne,5.0
9,2022-02-09,EFTPOS DEBIT 0000000 THAI SOCIAL MELBOURNE,18.17
10,2022-02-10,DEBIT CARD PURCHASE ACOFFEE Collingwood,5.57
11,2022-02-11,DEBIT CARD PURCHASE SQ *BRUNETTI ORO FLIND Melbourne,5.97
12,2022-02-11,DEBIT CARD PURCHASE FOOD FACTORY MELBOURNE,25.24
13,2022-02-11,DEBIT CARD PURCHASE ZLR*Deep Blue Seafood Melbourne,11.11
14,2022-02-12,DEBIT CARD PURCHASE Carl Timber+Greens Carlton,4.38
15,2022-02-12,DEBIT CARD PURCHASE Spotify Sydney,18.99
16,2022-02-13,DEBIT CARD PURCHASE SQ *DUKES COFFEE ROAST Melbourne,5.0
17,2022-02-13,DEBIT CARD PURCHASE THAILANDER EMPORIUM MELBOURNE,7.08
18,2022-02-13,DEBIT CARD PURCHASE ZLR*Deep Blue Seafood Melbourne,11.11
19,2022-02-14,DEBIT CARD PURCHASE MILKY JOE'S MELBOURNE,4.3
20,2022-02-15,DEBIT CARD PURCHASE PROFESSORS WALK CAFE PARKVILLE,4.6
21,2022-02-16,DEBIT CARD PURCHASE SQ *ROSSO ESPRESSO BAR Melbourne,4.5
22,2022-02-17,DEBIT CARD PURCHASE PUZZLE SWANSTON ST MELBOURNE,4.66
23,2022-02-18,DEBIT CARD PURCHASE ACOFFEE Collingwood,5.57
24,2022-02-19,DEBIT CARD PURCHASE Carl Timber+Greens Carlton,4.38
25,2022-02-19,DEBIT CARD PURCHASE DELHI STREETS MELBOURNE,20.0
26,2022-02-19,DEBIT CARD PURCHASE ALDI STORES - WEST MEL WEST MELBOUR,42.34
27,2022-02-20,DEBIT CARD PURCHASE EMPORIUM ESPRESSO PL MELBOURNE,5.3
28,2022-02-21,DEBIT CARD PURCHASE DR DAX KITCHEN Parkville,4.26
